 Tweet Text,Cluster
#50radio #NowPlaying 5-0 Radio app (Larimer County Fire and EMS) rr://7897 #highparkfire,0
"According to Gov Hickenlooper, One third of all fire retardant equipment in the country is here in Larimer County. #highparkfire",0
RT @KyleLSaunders: Just some perspective: 14000 acres = 21.87500 sq mi #highparkfire; @LarimerSheriff notes still 0% containment--so sco ...,0
RT @HumaneSociety: .@winecountrydog it is still open to large animals just not people #highparkfire,0
"RT @denverpost: #HighParkFire, at 14,000 acres (22 sq. miles), is roughly the same size as the city of #Boulder (24 sq. miles): http://t ...",0
@alan_arnette Moore Animal Hosptal in FC offering free small animal boarding and pick up for #highparkfire evacuees. 970-560-0452 for info.,0
"RT @TigerAngel2: RT @HumaneSociety: Not affected by #highparkfire? Help @LarimerHumane by donating wet dog/cat food, or on their site ht ...",0
"#HighParkFire trying to get more of all resources.. air, ground crews, military assistance.. competing for fire resources due to other fires",0
RT @HumaneSociety: If you are evacuating please don't wait - take your pets when you evacuate!  #highparkfire #wildfire,0
RT @HumaneSociety If you are evacuating please don't wait - take your pets when you evacuate! #highparkfire #wildfire #COwx,0
"so a helicopter crash , train derailment and paul walker dead!! 2013 finishing of were it began ...shite!!",1
Train derailment sparks major fire in Quebec's Eastern Townships http://t.co/o69z3EEM9A,1
RT @NewsBreaker: NEW PHOTO:  Another unbelievable shot from the train derailment and explosion in Quebec #LacMegantic: http://t.co/ptk0DRC2…,1
#TEAMFOLLOWBACK #JFB Photo: Eyewitness captures train derailment explosion in Quebec - via @LesNews http://t.co/K9l8Dh4f25 #FOLLOWBACK #TFB,1
RT @NewsBreaker: NEW PHOTO:  Another unbelievable shot from the train derailment and explosion in Quebec #LacMegantic: http://t.co/ptk0DRC2…,1
[Breaking] Several people reported missing after Quebec train derailment - @AP http://t.co/y7KBZR3LKW,1
"Quebec town rocked by explosions, fire after oil train derailment http://t.co/3YA6fUIeHf",1
Photo: Explosion from Quebec train derailment - via @Forian http://t.co/4maTnjNiDb #sp4zee,1
RT @YourAnonNews: Photo: Explosion from Quebec train derailment - via @Forian http://t.co/yzYso0uULE,1
RT @YourAnonNews: Photo: Explosion from Quebec train derailment - via @Forian http://t.co/yzYso0uULE,1
#temblorcr Fuerte sismo también se sintió en territorio nicaraguense,2
"RT @CNNEE: URGENTE: Un terremoto de magnitud 7,9 sacudió #CostaRica, según el Servicio Geológico de Estados Unidos. http://t.co/VThN0aU8",2
"RT @CNNEE: URGENTE: Un terremoto de magnitud 7,9 sacudió #CostaRica, según el Servicio Geológico de Estados Unidos. http://t.co/VThN0aU8",2
RT @MIGAND75: Ahora #CostaRica se cimbra con fuerte #sismo de 7.9,2
"RT @CNNEE: URGENTE: Un terremoto de magnitud 7,9 sacudió #CostaRica, según el Servicio Geológico de Estados Unidos. http://t.co/VThN0aU8",2
"@elsalvadorcom: Según USGS, sismo de 7.9 se sintió hace unos minutos (8:42 am) en #CostaRica con epicentro en Guanacaste.",2
RT @espinozajs: sismo de 7.9 FUE A 12.4 millas de profundidad #CostarICA,2
"RT @CNNEE: Tras el sismo de 7,9 en #CostaRica hay alerta de #tsunami para toda la zona costera desde #Centroamérica hasta #Brasil: http: ...",2
"RT @CNNEE: Tras el sismo de 7,9 en #CostaRica hay alerta de #tsunami para toda la zona costera desde #Centroamérica hasta #Brasil: http: ...",2
"Dice @julio2j: : URGENTE// Un terremoto de magnitud 7,9 sacudió #CostaRica, según el Servicio Geológico de Estados Unidos (vía @CNNE)",2
"RT @BBCBreaking: Fire in nightclub in southern #Brazil city of Santa Maria leaves at least 70 dead, local media report http://t.co/zMddoBYh",3
"At least 90 people die in a nightclub fire in southern Brazil, local media says: Remarque importante à... http://t.co/GfyDcFYi @romandie",3
Dozens killed in Brazil nightclub fire http://t.co/hdBBr1uI,3
"RT @storyfulpro: BRAZIL: At least 90 killed in fire in nightclub Kiss, Santa Maria. Fire started at 2.00am local. Diario de Santa Maria  ...",3
Brazil Nightclub Fire: 'Ninety' Killed http://t.co/HvcJJ2w6,3
